Hydrogen = position:0, number:1, small: H, molar:1.00794, electron:1
Cadmium = position:11, number:48, small: Cd, molar:112.411, electron:2 8 18 18 2
Indium = position:12, number:49, small: In, molar:114.818, electron:2 8 18 18 3
Tin = position:13, number:50, small: Sn, molar:118.71, electron:2 8 18 18 4
Antimony = position:14, number:51, small: Sb, molar:121.76, electron:2 8 18 18 5
Tellurium = position:15, number:52, small: Te, molar:127.6, electron:2 8 18 18 6
Iodine = position:16, number:53, small: I, molar:126.90447, electron:2 8 18 18 7
Xenon = position:17, number:54, small: Xe, molar:131.293, electron:2 8 18 18 8
Caesium = position:0, number:55, small: Cs, molar:132.90546, electron:2 8 18 18 8 1
Barium = position:1, number:56, small: Ba, molar:137.327, electron:2 8 18 18 8 2
Hafnium = position:3, number:72, small: Hf, molar:178.49, electron:2 8 18 32 10 2
Tantalum = position:4, number:73, small: Ta, molar:180.94788, electron:2 8 18 32 11 2
Tungsten = position:5, number:74, small: W, molar:183.84, electron:2 8 18 32 12 2
Rhenium = position:6, number:75, small: Re, molar:186.207, electron:2 8 18 32 13 2
Osmium = position:7, number:76, small: Os, molar:190.23, electron:2 8 18 32 14 2
Iridium = position:8, number:77, small: Ir, molar:192.217, electron:2 8 18 32 15 2
Platinum = position:9, number:78, small: Pt, molar:195.084, electron:2 8 18 32 17 1
Gold = position:10, number:79, small: Au, molar:196.96657, electron:2 8 18 32 18 1
Mercury = position:11, number:80, small: Hg, molar:200.59, electron:2 8 18 32 18 2
Thallium = position:12, number:81, small: Tl, molar:204.3833, electron:2 8 18 32 18 3
Lead = position:13, number:82, small: Pb, molar:207.2, electron:2 8 18 32 18 4
Bismuth = position:14, number:83, small: Bi, molar:208.9804, electron:2 8 18 32 18 5
Polonium = position:15, number:84, small: Po, molar:209, electron:2 8 18 32 18 6
Astatine = position:16, number:85, small: At, molar:210, electron:2 8 18 32 18 7
Radon = position:17, number:86, small: Rn, molar:222, electron:2 8 18 32 18 8
Francium = position:0, number:87, small: Fr, molar:223, electron:2 8 18 32 18 8 1
Radium = position:1, number:88, small: Ra, molar:226, electron:2 8 18 32 18 8 2
Rutherfordium = position:3, number:104, small: Rf, molar:267, electron:2 8 18 32 32 10 2
Dubnium = position:4, number:105, small: Db, molar:268, electron:2 8 18 32 32 11 2
Seaborgium = position:5, number:106, small: Sg, molar:271, electron:2 8 18 32 32 12 2
Bohrium = position:6, number:107, small: Bh, molar:272, electron:2 8 18 32 32 13 2
Hassium = position:7, number:108, small: Hs, molar:270, electron:2 8 18 32 32 14 2
Meitnerium = position:8, number:109, small: Mt, molar:276, electron:2 8 18 32 32 15 2
Darmstadtium = position:9, number:110, small: Ds, molar:281, electron:2 8 18 32 32 17 1
Roentgenium = position:10, number:111, small: Rg, molar:280, electron:2 8 18 32 32 18 1
Copernicium = position:11, number:112, small: Cn, molar:285, electron:2 8 18 32 32 18 2
Ununtrium = position:12, number:113, small: Uut, molar:284, electron:2 8 18 32 32 18 3
Flerovium = position:13, number:114, small: Fl, molar:289, electron:2 8 18 32 32 18 4
Ununpentium = position:14, number:115, small: Uup, molar:288, electron:2 8 18 32 32 18 5
Livermorium = position:15, number:116, small: Lv, molar:293, electron:2 8 18 32 32 18 6
Ununseptium = position:16, number:117, small: Uus, molar:294, electron:2 8 18 32 32 18 7
Ununoctium = position:17, number:118, small: Uuo, molar:294, electron:2 8 18 32 32 18 8
